experiment,feature_count,cv_accuracy_mean,cv_macro_f1_mean,cv_weighted_f1_mean,test_accuracy,test_macro_f1,test_weighted_f1,test_auc_ovr_weighted,runtime_seconds
efficientnet_only,1792,0.8837543296443355,0.8305343305253065,0.8817884622634294,0.92,0.8951528659297726,0.9181389086877325,0.9706031117091972,1.7885084000008646
hybrid_handcrafted_efficientnet,1809,0.8825011968122554,0.8254584366312954,0.8799911702755819,0.92,0.8933836537327515,0.9164370798443212,0.9654884120813396,1.7580836999986786
handcrafted_only,17,0.9287779373527453,0.9037017349618316,0.928176112646235,0.91,0.8792845896346869,0.9067024967252807,0.9597347820308346,0.8053436999907717
