experiment,feature_count,cv_accuracy_mean,cv_macro_f1_mean,cv_weighted_f1_mean,test_accuracy,test_macro_f1,test_weighted_f1,test_auc_ovr_weighted,runtime_seconds
efficientnet_only,1280,0.9041666666666667,0.8159545298024206,0.9017873048763642,0.8833333333333333,0.8000000000000002,0.8844444444444446,0.949647266313933,0.3893386000127066
hybrid_handcrafted_efficientnet,1297,0.8958333333333334,0.78985079449359,0.8911966315141574,0.8833333333333333,0.7833890746934227,0.8787179487179486,0.9485619318952653,0.402642700006254
handcrafted_only,17,0.8958333333333334,0.822057163705804,0.8921775670676269,0.85,0.773014823907091,0.8549649073112391,0.9420906254239586,0.24946429999545217
