model,cv_macro_f1_mean,cv_macro_f1_std,fold_scores
LightGBM,0.8036375097795201,0.016227401592059626,"0.8031, 0.7932, 0.7867, 0.8013, 0.8339"
Hist Gradient Boosting,0.8033689033789975,0.013288015027021946,"0.8040, 0.8039, 0.7869, 0.7954, 0.8268"
Random Forest,0.7970811036344173,0.012726374131683591,"0.7898, 0.7910, 0.7842, 0.7998, 0.8205"
Gradient Boosting,0.7938337298870104,0.011490921596652602,"0.7891, 0.7873, 0.7801, 0.7996, 0.8131"
Logistic Regression,0.6426668369848515,0.015614909876457101,"0.6349, 0.6163, 0.6488, 0.6526, 0.6608"
